"type","id","author","editor","advisor","note","title","pages","article_no","num_pages","keywords","doi","journal","issue_date","volume","issue_no","description","month","year","issn","booktitle","acronym","edition","isbn","conf_loc","publisher","publisher_loc"
"article","1866001","Wolfgang  Schriebl and Bernhard  Rinner","","","","A Resource-aware Distributed Event Space for Pervasive Smart Camera Networks","82--87","","6","distributed person tracking, event distribution, middleware, smart cameras","10.1145/1865987.1866001","","","","","","","2010","","Proceedings of the Fourth ACM/IEEE International Conference on Distributed Smart Cameras","ICDSC '10","","978-1-4503-0317-0","Atlanta, Georgia","ACM","New York, NY, USA"
"article","2891092","Eitan  Mendelowitz and Damon  Seeley and David  Glicksman","","","","Whorl: An Immersive Dive into a World of Flowers, Color, and Play","3871--3874","","4","digital ecology, embodied interaction, interactive environment, interactivity, person-tracking","10.1145/2851581.2891092","","","","","","","2016","","Proceedings of the 2016 CHI Conference Extended Abstracts on Human Factors in Computing Systems","CHI EA '16","","978-1-4503-4082-3","San Jose, California, USA","ACM","New York, NY, USA"
"article","958460","Kai  Nickel and Rainer  Stiefelhagen","","","","Pointing Gesture Recognition Based on 3D-tracking of Face, Hands and Head Orientation","140--146","","7","computer vision, gesture recognition, person tracking, pointing gestures","10.1145/958432.958460","","","","","","","2003","","Proceedings of the 5th International Conference on Multimodal Interfaces","ICMI '03","","1-58113-621-8","Vancouver, British Columbia, Canada","ACM","New York, NY, USA"
"article","3010919","John  Rooksby and Parvin  Asadzadeh and Alistair  Morrison and Claire  McCallum and Cindy  Gray and Matthew  Chalmers","","","","Implementing Ethics for a Mobile App Deployment","406--415","","10","consent, deployment, mobile app, personal tracking, research ethics","10.1145/3010915.3010919","","","","","","","2016","","Proceedings of the 28th Australian Conference on Computer-Human Interaction","OzCHI '16","","978-1-4503-4618-4","Launceston, Tasmania, Australia","ACM","New York, NY, USA"
"article","1228720","Rachel  Gockley and Jodi  Forlizzi and Reid  Simmons","","","","Natural Person-following Behavior for Social Robots","17--24","","8","human-robot interaction, person following, person tracking, social robots","10.1145/1228716.1228720","","","","","","","2007","","Proceedings of the ACM/IEEE International Conference on Human-robot Interaction","HRI '07","","978-1-59593-617-2","Arlington, Virginia, USA","ACM","New York, NY, USA"
"article","1593150","Tucker  Watson and Tim  Hammond and Will  Pressly","","","","CU Safe: A Software Tool for Campus Safety","176--179","","4","GPS, J2ME, cell phone, google maps, monitoring, personal tracking, safety","10.1145/1593105.1593150","","","","","","","2008","","Proceedings of the 46th Annual Southeast Regional Conference on XX","ACM-SE 46","","978-1-60558-105-7","Auburn, Alabama","ACM","New York, NY, USA"
"article","2858055","John  Rooksby and Parvin  Asadzadeh and Mattias  Rost and Alistair  Morrison and Matthew  Chalmers","","","","Personal Tracking of Screen Time on Digital Devices","284--296","","13","design, lived informatics, multi-device use, personal tracking, qualitative interviews, software trial","10.1145/2858036.2858055","","","","","","","2016","","Proceedings of the 2016 CHI Conference on Human Factors in Computing Systems","CHI '16","","978-1-4503-3362-7","San Jose, California, USA","ACM","New York, NY, USA"
"article","2801612","Christian  Meurisch and Benedikt  Schmidt and Michael  Scholz and Immanuel  Schweizer and Max  M&#252;hlh&#228;user","","","","Labels: Quantified Self App for Human Activity Sensing","1413--1422","","10","annotated dataset, heterogeneous information sources, human activity sensing, personal tracking, quantified self","10.1145/2800835.2801612","","","","","","","2015","","Adjunct Proceedings of the 2015 ACM International Joint Conference on Pervasive and Ubiquitous Computing and Proceedings of the 2015 ACM International Symposium on Wearable Computers","UbiComp/ISWC'15 Adjunct","","978-1-4503-3575-1","Osaka, Japan","ACM","New York, NY, USA"
"article","3212846","Sam  Amin and Jeff  Burke","","","","OpenMoves: A System for Interpreting Person-Tracking Data","13:1--13:4","13","4","OpenPTrack, data analysis framework, human movement analysis, movement feature extraction, spatial trajectory analysis","10.1145/3212721.3212846","","","","","","","2018","","Proceedings of the 5th International Conference on Movement and Computing","MOCO '18","","978-1-4503-6504-8","Genoa, Italy","ACM","New York, NY, USA"
"article","2716522","Michael  Hardegger and Daniel  Roggen and Gerhard  Tr&#246;ster","","","","3D ActionSLAM: Wearable Person Tracking in Multi-floor Environments","123--141","","19","Indoor tracking, Location-aware computing, Pedestrian dead reckoning, Simultaneous localization and mapping, Wearable systems","10.1007/s00779-014-0815-y","Personal Ubiquitous Comput.","January   2015","19","1","","January","2015","1617-4909","","","","","","Springer-Verlag","London, UK, UK"
"article","1121310","Marek P. Michalowski and Reid  Simmons","","","","Multimodal Person Tracking and Attention Classification","347--358","","12","human-robot interaction, social robotics","10.1145/1121241.1121310","","","","","","","2006","","Proceedings of the 1st ACM SIGCHI/SIGART Conference on Human-robot Interaction","HRI '06","","1-59593-294-1","Salt Lake City, Utah, USA","ACM","New York, NY, USA"
"article","2557039","John  Rooksby and Mattias  Rost and Alistair  Morrison and Matthew  Chalmers","","","","Personal Tracking As Lived Informatics","1163--1172","","10","activity tracking, data, qualitative methods","10.1145/2556288.2557039","","","","","","","2014","","Proceedings of the SIGCHI Conference on Human Factors in Computing Systems","CHI '14","","978-1-4503-2473-1","Toronto, Ontario, Canada","ACM","New York, NY, USA"
"article","1631107","Lakshmi  Gade and Sreekar  Krishna and Sethuraman  Panchanathan","","","","Person Localization Using a Wearable Camera Towards Enhancing Social Interactions for Individuals with Visual Impairment","53--62","","10","computer vision, mobile camera, object tracking, person tracking, social interactions, wearable camera","10.1145/1631097.1631107","","","","","","","2009","","Proceedings of the 1st ACM SIGMM International Workshop on Media Studies and Implementations That Help Improving Access to Disabled Users","MSIADU '09","","978-1-60558-764-6","Beijing, China","ACM","New York, NY, USA"
"article","3131912","K. A. Shiva Kumar and K. R. Ramakrishnan and G. N. Rathna","","","","Inter-Camera Person Tracking in Non-overlapping Networks: Re-identification Protocol and On-line Update","55--62","","8","Camera networks, evaluation, re-identification, tracking","10.1145/3131885.3131912","","","","","","","2017","","Proceedings of the 11th International Conference on Distributed Smart Cameras","ICDSC 2017","","978-1-4503-5487-5","Stanford, CA, USA","ACM","New York, NY, USA"
"article","1291388","Keni  Bernardin and Rainer  Stiefelhagen","","","","Audio-visual Multi-person Tracking and Identification for Smart Environments","661--670","","10","","10.1145/1291233.1291388","","","","","","","2007","","Proceedings of the 15th ACM International Conference on Multimedia","MM '07","","978-1-59593-702-5","Augsburg, Germany","ACM","New York, NY, USA"
"article","1413715","Nikos  Katsarakis and Aristodemos  Pnevmatikakis and John  Soldatos","","","","Person Tracking for Ambient Camera Selection in Complex Sports Environments","458--465","","8","camera selection, sports analysis","10.1145/1413634.1413715","","","","","","","2008","","Proceedings of the 3rd International Conference on Digital Interactive Media in Entertainment and Arts","DIMEA '08","","978-1-60558-248-1","Athens, Greece","ACM","New York, NY, USA"
"article","313270","Kurt D. Bollacker and Steve  Lawrence and C. Lee Giles","","","","A System for Automatic Personalized Tracking of Scientific Literature on the Web","105--113","","9","citation index, information filtering, knowledge representation, user profile","10.1145/313238.313270","","","","","","","1999","","Proceedings of the Fourth ACM Conference on Digital Libraries","DL '99","","1-58113-145-3","Berkeley, California, USA","ACM","New York, NY, USA"
"article","3025747","Chia-Fang  Chung and Elena  Agapie and Jessica  Schroeder and Sonali  Mishra and James  Fogarty and Sean A. Munson","","","","When Personal Tracking Becomes Social: Examining the Use of Instagram for Healthy Eating","1674--1687","","14","food journals, health, personal informatics, self-tracking, social media, social support","10.1145/3025453.3025747","","","","","","","2017","","Proceedings of the 2017 CHI Conference on Human Factors in Computing Systems","CHI '17","","978-1-4503-4655-9","Denver, Colorado, USA","ACM","New York, NY, USA"
"article","1924580","Pradeep  Natarajan and Prithviraj  Banerjee and Ram  Nevatia","","","","Accurate Person Tracking Through Changing Poses for Multi-view Action Recognition","155--161","","7","","10.1145/1924559.1924580","","","","","","","2010","","Proceedings of the Seventh Indian Conference on Computer Vision, Graphics and Image Processing","ICVGIP '10","","978-1-4503-0060-5","Chennai, India","ACM","New York, NY, USA"
"article","1132992","Xueli  An and Jing  Wang and R. Venkatesha Prasad and I. G. M. M. Niemegeers","","","","OPT: Online Person Tracking System for Context-awareness in Wireless Personal Network","47--54","","8","localization, tmotes, weighted MMSE","10.1145/1132983.1132992","","","","","","","2006","","Proceedings of the 2Nd International Workshop on Multi-hop Ad Hoc Networks: From Theory to Reality","REALMAN '06","","1-59593-360-3","Florence, Italy","ACM","New York, NY, USA"
"article","1620960","Heng  Ji and Zheng  Chen","","","","Cross-document Temporal and Spatial Person Tracking System Demonstration","1--4","","4","","","","","","","","","2009","","Proceedings of Human Language Technologies: The 2009 Annual Conference of the North American Chapter of the Association for Computational Linguistics, Companion Volume: Demonstration Session","NAACL-Demonstrations '09","","","Boulder, Colorado","Association for Computational Linguistics","Stroudsburg, PA, USA"
"article","1133008","Xueli  An and Jing  Wang and R. Venkatesha Prasad and I. G. M. M. Niemegeers","","","","OPT: Online Person Tracking System for Context-awareness in Wireless Personal Network","119--121","","3","Tmotes, localization, weighted MMSE","10.1145/1132983.1133008","","","","","","","2006","","Proceedings of the 2Nd International Workshop on Multi-hop Ad Hoc Networks: From Theory to Reality","REALMAN '06","","1-59593-360-3","Florence, Italy","ACM","New York, NY, USA"
"article","2804269","Rayoung  Yang and Eunice  Shin and Mark W. Newman and Mark S. Ackerman","","","","When Fitness Trackers Don'T 'Fit': End-user Difficulties in the Assessment of Personal Tracking Device Accuracy","623--634","","12","accuracy, activity, fitness tracker, sensor-based tracking","10.1145/2750858.2804269","","","","","","","2015","","Proceedings of the 2015 ACM International Joint Conference on Pervasive and Ubiquitous Computing","UbiComp '15","","978-1-4503-3574-4","Osaka, Japan","ACM","New York, NY, USA"
"article","3264973","Indrani  Bhattacharya","","","","Unobtrusive Analysis of Group Interactions Without Cameras","501--505","","5","arm and body posture, group meeting analysis, head pose estimation, multimodal sensing, multiple person tracking, smart rooms, time-of-flight sensing","10.1145/3242969.3264973","","","","","","","2018","","Proceedings of the 20th ACM International Conference on Multimodal Interaction","ICMI '18","","978-1-4503-5692-3","Boulder, CO, USA","ACM","New York, NY, USA"
"article","1273388","Gerasimos  Potamianos","","","","Audio-visual Technologies for Lecture and Meeting Analysis Inside Smart Rooms","7--7","","1","face detection, meeting data, speaker diarization, speech activity detection, speech processing, speech recognition, visual tracking","","","","","","","","2006","","Proceedings of the HCSNet Workshop on Use of Vision in Human-computer Interaction - Volume 56","VisHCI '06","","","Canberra, Australia","Australian Computer Society, Inc.","Darlinghurst, Australia, Australia"
"article","3064714","Chris  Elsden and Abigail C. Durrant and David  Chatting and David S. Kirk","","","","Designing Documentary Informatics","649--661","","13","data-driven life, documentary informatics, quantified self, remembering, speculative methods, weddings","10.1145/3064663.3064714","","","","","","","2017","","Proceedings of the 2017 Conference on Designing Interactive Systems","DIS '17","","978-1-4503-4922-2","Edinburgh, United Kingdom","ACM","New York, NY, USA"
"article","1049325","Suhaib A. Fahmy and Peter Y.  K. Cheung and Wayne  Luk","","","","Hardware Acceleration of Hidden Markov Model Decoding for Person Detection","8--13","","6","","10.1109/DATE.2005.169","","","","","","","2005","","Proceedings of the Conference on Design, Automation and Test in Europe - Volume 3","DATE '05","","0-7695-2288-2","","IEEE Computer Society","Washington, DC, USA"
"article","2559651","Aleksandar  Jevti&#263; and Guillaume  Doisy and Sa&#353;a  Bodiro&#382;a and Yael  Edan and Verena V. Hafner","","","","Human-robot Interaction Through 3D Vision and Force Control","102--102","","1","gesture recognition, human-robot interaction, person following","10.1145/2559636.2559651","","","","","","","2014","","Proceedings of the 2014 ACM/IEEE International Conference on Human-robot Interaction","HRI '14","","978-1-4503-2658-2","Bielefeld, Germany","ACM","New York, NY, USA"
"article","2504395","K.  Papoutsakis and P.  Padeleris and A.  Ntelidakis and S.  Stefanou and X.  Zabulis and D.  Kosmopoulos and A. A. Argyros","","","","Developing Visual Competencies for Socially Assistive Robots: The HOBBIT Approach","56:1--56:7","56","7","action recognition, head pose estimation, object detection, tracking","10.1145/2504335.2504395","","","","","","","2013","","Proceedings of the 6th International Conference on PErvasive Technologies Related to Assistive Environments","PETRA '13","","978-1-4503-1973-7","Rhodes, Greece","ACM","New York, NY, USA"
"article","2668319","Mary Ellen  Foster and Manuel  Giuliani and Ronald  Petrick","","","","ICMI 2014 Workshop on Multimodal, Multi-Party, Real-World Human-Robot Interaction","533--534","","2","multi-party, multimodal, real-world interaction","10.1145/2663204.2668319","","","","","","","2014","","Proceedings of the 16th International Conference on Multimodal Interaction","ICMI '14","","978-1-4503-2885-2","Istanbul, Turkey","ACM","New York, NY, USA"
"article","2447579","J&#252;rgen  Blume and Alexander  Bannat and Gerhard  Rigoll","","","","iProgram: Intuitive Programming of an Industrial Hri Cell","85--86","","2","human robot interaction, robot programming","","","","","","","","2013","","Proceedings of the 8th ACM/IEEE International Conference on Human-robot Interaction","HRI '13","","978-1-4673-3055-8","Tokyo, Japan","IEEE Press","Piscataway, NJ, USA"
"article","1739129","M.  Nanni and R.  Trasarti and C.  Renso and F.  Giannotti and D.  Pedreschi","","","","Advanced Knowledge Discovery on Movement Data with the GeoPKDD System","693--696","","4","","10.1145/1739041.1739129","","","","","","","2010","","Proceedings of the 13th International Conference on Extending Database Technology","EDBT '10","","978-1-60558-945-9","Lausanne, Switzerland","ACM","New York, NY, USA"
