type,id,author,editor,advisor,note,title,pages,article_no,num_pages,keywords,doi,journal,issue_date,volume,issue_no,description,month,year,issn,booktitle,acronym,edition,isbn,conf_loc,publisher,publisher_loc
article,582131,Gordon S. Blair and Geoff  Coulson and Lynne  Blair and Hector  Duran-Limon and Paul  Grace and Rui  Moreira and Nikos  Parlavantzas,,,,"Reflection, Self-awareness and Self-healing in OpenORB",9--14,,6,"middleware, reflection, self-awareness, self-healing",10.1145/582128.582131,,,,,,,2002,,Proceedings of the First Workshop on Self-healing Systems,WOSS '02,,1-58113-609-9,"Charleston, South Carolina",ACM,"New York, NY, USA"
article,1190328,Jochen  Mundinger and Jean-Yves  Le Boudec,,,,Reputation in Self-organized Communication Systems and Beyond,,3,,"Bayesian belief propagation, discrete event dynamic system, interacting particle system, liars, performance optimization, phase transition, reputation, social networks, statistical physics model, trust",10.1145/1190326.1190328,,,,,,,2006,,Proceedings from the 2006 Workshop on Interdisciplinary Systems Approach in Performance Evaluation and Design of Computer & Communications Sytems,Interperf '06,,1-59593-503-7,"Pisa, Italy",ACM,"New York, NY, USA"
article,2344043,E.  del Val and M.  Vasirani and M.  Rebollo and A.  Fernandez,,,,Enhancing Decentralized Service Discovery Through Structural Self-organization,1429--1430,,2,"homophily, self-adaption, self-organization, services, similarity",,,,,,,,2012,,Proceedings of the 11th International Conference on Autonomous Agents and Multiagent Systems - Volume 3,AAMAS '12,,"0-9817381-3-3, 978-0-9817381-3-0","Valencia, Spain",International Foundation for Autonomous Agents and Multiagent Systems,"Richland, SC"
article,1542439,Vijay  Nagarajan and Dennis  Jeffrey and Rajiv  Gupta,,,,Self-recovery in Server Programs,49--58,,10,"memory propagation, self cleansing, self recovery",10.1145/1542431.1542439,,,,,,,2009,,Proceedings of the 2009 International Symposium on Memory Management,ISMM '09,,978-1-60558-347-1,"Dublin, Ireland",ACM,"New York, NY, USA"
article,1295090,Alessandra  Gorla,,,,Towards Design for Self-healing,86--89,,4,"design for self-healing, self-healing",10.1145/1295074.1295090,,,,,,,2007,,Fourth International Workshop on Software Quality Assurance: In Conjunction with the 6th ESEC/FSE Joint Meeting,SOQUA '07,,978-1-59593-724-7,"Dubrovnik, Croatia",ACM,"New York, NY, USA"
article,3029629,Sanidhya  Naikwad and Ruben  Vandervelden and S. Hassan Hosseinnia,,,,A Novel Hybrid Self-sensing Method For Force Estimation In A Piezo-stepperActuator,162--167,,6,"Hybrid Self-Sensing, Piezo-Stepper, Self-Sensing",10.1145/3029610.3029629,,,,,,,2016,,"Proceedings of the 4th International Conference on Control, Mechatronics and Automation",ICCMA '16,,978-1-4503-5213-0,"Barcelona, Spain",ACM,"New York, NY, USA"
article,1386402,Kambiz  Jarrah and Ling  Guan,,,,Content-based Image Retrieval via Distributed Databases,389--394,,6,"content-based image retrieval (cbir), directed self-organizing tree map (dsotm), distributed (decentralized) image databases, performance estimation",10.1145/1386352.1386402,,,,,,,2008,,Proceedings of the 2008 International Conference on Content-based Image and Video Retrieval,CIVR '08,,978-1-60558-070-8,"Niagara Falls, Canada",ACM,"New York, NY, USA"
article,1094628,Dale  Miller and Alwen  Tiu,,,,A Proof Theory for Generic Judgments,749--783,,35,"&#955;-tree syntax, &nabla;-quantifier, Proof search, generic judgments, higher-order abstract syntax, reasoning about operational semantics",10.1145/1094622.1094628,ACM Trans. Comput. Logic,Oct-05,6,4,,October,2005,1529-3785,,,,,,ACM,"New York, NY, USA"
article,581494,Arthur I. Baars and S. Doaitse Swierstra,,,,Typing Dynamic Typing,157--166,,10,"Haskell, Leibnitz' rule, coercions, dynamic typing, quantified types, static typing, type equality, typed interpreters",10.1145/583852.581494,SIGPLAN Not.,Sep-02,37,9,,September,2002,0362-1340,,,,,,ACM,"New York, NY, USA"
article,581494,Arthur I. Baars and S. Doaitse Swierstra,,,,Typing Dynamic Typing,157--166,,10,"Haskell, Leibnitz' rule, coercions, dynamic typing, quantified types, static typing, type equality, typed interpreters",10.1145/581478.581494,,,,,,,2002,,Proceedings of the Seventh ACM SIGPLAN International Conference on Functional Programming,ICFP '02,,1-58113-487-8,"Pittsburgh, PA, USA",ACM,"New York, NY, USA"
article,3133291,Noel B. Linsangan and Sandra  Tirol,,,,Automation of Quantification Activities of Semiconductor: Backend Process Using Binary Search Algorithm,118--122,,5,"Automated Quantifier Machine, C Programming Language, Microcontroller, Quantification, Visual Basic Programming Language",10.1145/3133264.3133291,,,,,,,2017,,Proceedings of the International Conference on Advances in Image Processing,ICAIP 2017,,978-1-4503-5295-6,"Bangkok, Thailand",ACM,"New York, NY, USA"
article,2746344,Jeremy  Pitt and Tom  Holvoet,,,,"SASO 2013: Selected, Revised, and Extended Best Papers",7:1--7:3,7,3,"Self-adapting systems, self-organizing systems",10.1145/2746344,ACM Trans. Auton. Adapt. Syst.,Jun-15,10,2,,June,2015,1556-4665,,,,,,ACM,"New York, NY, USA"
article,1809045,Holger  Kasinger and Bernhard  Bauer and J&#246;rg  Denzinger and Tom  Holvoet,,,,Adapting Environment-mediated Self-organizing Emergent Systems by Exception Rules,35--42,,8,"efficiency, emergence, rules, self-adaptation, self-organization",10.1145/1809036.1809045,,,,,,,2010,,Proceedings of the Second International Workshop on Self-organizing Architectures,SOAR '10,,978-1-4503-0087-2,"Washington, DC, USA",ACM,"New York, NY, USA"
article,2245297,Ting  Zhao and Hoon  Hong and Dongming  Wang and Philippe  Aubry,,,,Real Solution Formulas of Cubic and Quartic Equations Applied to Generate Dynamic Diagrams with Inequality Constraints,94--101,,8,"dynamic diagram, geometric constraint solving, inequality constraint, quantifier elimination, real solution formula",10.1145/2245276.2245297,,,,,,,2012,,Proceedings of the 27th Annual ACM Symposium on Applied Computing,SAC '12,,978-1-4503-0857-1,"Trento, Italy",ACM,"New York, NY, USA"
article,1277578,Masaaki  Kanno and Kazuhiro  Yokoyama and Hirokazu  Anai and Shinji  Hara,,,,Parametric Optimization in Control Using the Sum of Roots for Parametric Polynomial Spectral Factorization,211--218,,8,"Gr&#246;bner basis, parametric optimization, polynomial spectral factorization, quantifier elimination, H<sub>2</sub> control, sum of roots",10.1145/1277548.1277578,,,,,,,2007,,Proceedings of the 2007 International Symposium on Symbolic and Algebraic Computation,ISSAC '07,,978-1-59593-743-8,"Waterloo, Ontario, Canada",ACM,"New York, NY, USA"
article,2948624,Sarani  Bhattacharya and Chester  Rebeiro and Debdeep  Mukhopadhyay,,,,A Formal Security Analysis of Even-Odd Sequential Prefetching in Profiled Cache-Timing Attacks,6:1--6:8,6,8,"Hardware Prefetcher, cache miss, profiled cache-timing attacks, quantifying information leakage",10.1145/2948618.2948624,,,,,,,2016,,Proceedings of the Hardware and Architectural Support for Security and Privacy 2016,HASP 2016,,978-1-4503-4769-3,"Seoul, Republic of Korea",ACM,"New York, NY, USA"
article,1137701,Mazeiar  Salehie and Ladan  Tahvildari,,,,A Coordination Mechanism for Self-healing and Self-optimizing Disciplines,98--98,,1,"autonomic computing, coordination",10.1145/1137677.1137701,,,,,,,2006,,Proceedings of the 2006 International Workshop on Self-adaptation and Self-managing Systems,SEAMS '06,,1-59593-403-0,"Shanghai, China",ACM,"New York, NY, USA"
article,1450631,Romain  Cavagna and Maha  Abdallah and Christian  Bouville,,,,A Framework for Scalable Virtual Worlds Using Spatially Organized P2P Networks,237--238,,2,"peer-to-peer, self-adaptation, self-distribution, self-repartition, self-scalabity, virtual environments",10.1145/1450579.1450631,,,,,,,2008,,Proceedings of the 2008 ACM Symposium on Virtual Reality Software and Technology,VRST '08,,978-1-59593-951-7,"Bordeaux, France",ACM,"New York, NY, USA"
article,2034792,Yan  Chen and Joshua  Dunfield and Matthew A. Hammer and Umut A. Acar,,,,Implicit Self-adjusting Computation for Purely Functional Programs,129--141,,13,self-adjusting computation,10.1145/2034574.2034792,SIGPLAN Not.,Sep-11,46,9,,September,2011,0362-1340,,,,,,ACM,"New York, NY, USA"
article,2034792,Yan  Chen and Joshua  Dunfield and Matthew A. Hammer and Umut A. Acar,,,,Implicit Self-adjusting Computation for Purely Functional Programs,129--141,,13,self-adjusting computation,10.1145/2034773.2034792,,,,,,,2011,,Proceedings of the 16th ACM SIGPLAN International Conference on Functional Programming,ICFP '11,,978-1-4503-0865-6,"Tokyo, Japan",ACM,"New York, NY, USA"
article,3281288,Christoph M.  Kirsch,,,,On the Self in Selfie (Invited Talk),1--3,,3,"Self-Referentiality, Symbolic Execution",10.1145/3281287.3281288,,,,,,,2018,,Proceedings of the 10th ACM SIGPLAN International Workshop on Virtual Machines and Intermediate Languages,VMIL 2018,,978-1-4503-6071-5,"Boston, MA, USA",ACM,"New York, NY, USA"
article,1866221,Lisa G. Cowan,,,,Supporting Self-expression for Informal Communication,351--354,,4,"communication, mobile, self-expression",10.1145/1866218.1866221,,,,,,,2010,,Adjunct Proceedings of the 23Nd Annual ACM Symposium on User Interface Software and Technology,UIST '10,,978-1-4503-0462-7,"New York, New York, USA",ACM,"New York, NY, USA"
article,3152885,Javier Soto Vargas and Juan Manuel Moreno and Jordi  Madrenas and Joan  Cabestany,,,,Self-adaptive Hardware Architecture with Parallel Processing Capabilities and Dynamic Reconfiguration,4:1--4:7,4,7,"MIMD, dynamic reconfiguration, fault tolerance, multicomputer, self-adaptation, self-configuration, self-placement, self-routing",10.1145/3152881.3152885,,,,,,,2017,,Proceedings of the 16th Workshop on Adaptive and Reflective Middleware,ARM '17,,978-1-4503-5168-3,"Las Vegas, Nevada",ACM,"New York, NY, USA"
article,1998581,Sanaz  Mostaghim and Friederike  Pfeiffer and Hartmut  Schmeck,,,,Self-organized Invasive Parallel Optimization,49--56,,8,self-organized optimization,10.1145/1998570.1998581,,,,,,,2011,,Proceedings of the 3rd Workshop on Biologically Inspired Algorithms for Distributed Systems,BADS '11,,978-1-4503-0733-8,"Karlsruhe, Germany",ACM,"New York, NY, USA"
article,2034808,Barry  Jay and Jens  Palsberg,,,,Typed Self-interpretation by Pattern Matching,247--258,,12,"pattern matching, self-interpretation",10.1145/2034574.2034808,SIGPLAN Not.,Sep-11,46,9,,September,2011,0362-1340,,,,,,ACM,"New York, NY, USA"
article,2034808,Barry  Jay and Jens  Palsberg,,,,Typed Self-interpretation by Pattern Matching,247--258,,12,"pattern matching, self-interpretation",10.1145/2034773.2034808,,,,,,,2011,,Proceedings of the 16th ACM SIGPLAN International Conference on Functional Programming,ICFP '11,,978-1-4503-0865-6,"Tokyo, Japan",ACM,"New York, NY, USA"
article,1075421,Stephen  Heisig and Steve  Moyle,,,,Using Model Trees to Characterize Computer Resource Usage,80--84,,5,self-managing systems,10.1145/1075405.1075421,,,,,,,2004,,Proceedings of the 1st ACM SIGSOFT Workshop on Self-managed Systems,WOSS '04,,1-58113-989-6,"Newport Beach, California",ACM,"New York, NY, USA"
article,3194155,T. T. Tun and M.  Yang and A. K. Bandara and Y.  Yu and A.  Nhlabatsi and N.  Khan and K. M. Khan and B.  Nuseibeh,,,,Requirements and Specifications for Adaptive Security: Concepts and Analysis,161--171,,11,"security requirements, self-adaptation",10.1145/3194133.3194155,,,,,,,2018,,Proceedings of the 13th International Conference on Software Engineering for Adaptive and Self-Managing Systems,SEAMS '18,,978-1-4503-5715-9,"Gothenburg, Sweden",ACM,"New York, NY, USA"
article,1808994,Danny  Weyns and Sam  Malek and Jesper  Andersson,,,,On Decentralized Self-adaptation: Lessons from the Trenches and Challenges for the Future,84--93,,10,"decentralized control, self-adaptation",10.1145/1808984.1808994,,,,,,,2010,,Proceedings of the 2010 ICSE Workshop on Software Engineering for Adaptive and Self-Managing Systems,SEAMS '10,,978-1-60558-971-8,"Cape Town, South Africa",ACM,"New York, NY, USA"
article,1462194,Praveen  Danturi and Mikhail  Nesterenko and S&#233;bastien  Tixeuil,,,,Self-stabilizing Philosophers with Generic Conflicts,7:1--7:20,7,20,"Self-stabilization, dining philosophers",10.1145/1462187.1462194,ACM Trans. Auton. Adapt. Syst.,Jan-09,4,1,,February,2009,1556-4665,,,,,,ACM,"New York, NY, USA"
article,330856,Jung-Shian  Li and Adam  Wolisz and Radu  Popescu-Zeletin,,,,Modelling and Simulation of Fractional ARIMA Processes Based on Importance Sampling,453--455,,3,"importance sampling, self-similar",10.1145/330560.330856,,,,,,,1998,,Proceedings of the 1998 ACM Symposium on Applied Computing,SAC '98,,0-89791-969-6,"Atlanta, Georgia, USA",ACM,"New York, NY, USA"
article,2613110,Wai Kit  Sze and Bhuvan  Mital and R.  Sekar,,,,Towards More Usable Information Flow Policies for Contemporary Operating Systems,75--84,,10,"integrity, self-revocation, usability",10.1145/2613087.2613110,,,,,,,2014,,Proceedings of the 19th ACM Symposium on Access Control Models and Technologies,SACMAT '14,,978-1-4503-2939-2,"London, Ontario, Canada",ACM,"New York, NY, USA"
article,1810606,Marco  Pasch,,,,Improving Children's Self-report in User-centered Evaluations,331--334,,4,"children, evaluation, self-report",10.1145/1810543.1810606,,,,,,,2010,,Proceedings of the 9th International Conference on Interaction Design and Children,IDC '10,,978-1-60558-951-0,"Barcelona, Spain",ACM,"New York, NY, USA"
article,1791223,Stephen  Chong and Christian  Skalka and Jeffrey A. Vaughan,,,,Self-identifying Sensor Data,82--93,,12,"provenance, self-identifying data",10.1145/1791212.1791223,,,,,,,2010,,Proceedings of the 9th ACM/IEEE International Conference on Information Processing in Sensor Networks,IPSN '10,,978-1-60558-988-6,"Stockholm, Sweden",ACM,"New York, NY, USA"
article,1229449,Gosia  Wrzesinska and Jason  Maassen and Henri E. Bal,,,,Self-adaptive Applications on the Grid,121--129,,9,"grid computing, self-adaptivity",10.1145/1229428.1229449,,,,,,,2007,,Proceedings of the 12th ACM SIGPLAN Symposium on Principles and Practice of Parallel Programming,PPoPP '07,,978-1-59593-602-8,"San Jose, California, USA",ACM,"New York, NY, USA"
article,2723719,Eleni  Petraki and Stratos  Idreos and Stefan  Manegold,,,,Holistic Indexing in Main-memory Column-stores,1153--1166,,14,"holistic indexing, self-organization",10.1145/2723372.2723719,,,,,,,2015,,Proceedings of the 2015 ACM SIGMOD International Conference on Management of Data,SIGMOD '15,,978-1-4503-2758-9,"Melbourne, Victoria, Australia",ACM,"New York, NY, USA"
article,2343949,Dayong  Ye and Minjie  Zhang and Danny  Sutanto,,,,Integrating Self-organisation into Dynamic Coalition Formation,1253--1254,,2,"coalition formation, self-organisation",,,,,,,,2012,,Proceedings of the 11th International Conference on Autonomous Agents and Multiagent Systems - Volume 3,AAMAS '12,,"0-9817381-3-3, 978-0-9817381-3-0","Valencia, Spain",International Foundation for Autonomous Agents and Multiagent Systems,"Richland, SC"
proceeding,1942793,,,,Conference Chair-Robert  Hirschfeld and Conference Chair-Hidehiko  Masuhara and Conference Chair-Kim  Rose,,,,,,,,,,,,,2010,,Workshop on Self-Sustaining Systems,,,978-1-4503-0491-7,"Tokyo, Japan",ACM,"New York, NY, USA"
article,2001578,Rebecca  Schulman,,,,Beyond Biology: Designing a New Mechanism for Self-replication and Evolution at the Nanoscale,7--14,,8,"nanoscale systems, self-replication",10.1145/2001576.2001578,,,,,,,2011,,Proceedings of the 13th Annual Conference on Genetic and Evolutionary Computation,GECCO '11,,978-1-4503-0557-0,"Dublin, Ireland",ACM,"New York, NY, USA"
article,174161,Shing-Tsaan  Huang,,,,Leader Election in Uniform Rings,563--573,,11,"protocols, self-stabilization",10.1145/169683.174161,ACM Trans. Program. Lang. Syst.,Jul-93,15,3,,July,1993,0164-0925,,,,,,ACM,"New York, NY, USA"
article,1480907,Ruy  Ley-Wild and Umut A. Acar and Matthew  Fluet,,,,A Cost Semantics for Self-adjusting Computation,186--199,,14,self-adjusting computation,10.1145/1594834.1480907,SIGPLAN Not.,Jan-09,44,1,,January,2009,0362-1340,,,,,,ACM,"New York, NY, USA"
article,1480907,Ruy  Ley-Wild and Umut A. Acar and Matthew  Fluet,,,,A Cost Semantics for Self-adjusting Computation,186--199,,14,self-adjusting computation,10.1145/1480881.1480907,,,,,,,2009,,Proceedings of the 36th Annual ACM SIGPLAN-SIGACT Symposium on Principles of Programming Languages,POPL '09,,978-1-60558-379-2,"Savannah, GA, USA",ACM,"New York, NY, USA"
article,1066784,Ronaldo  Menezes,,,,Self-organization and Computer Security: A Case Study in Adaptive Coordination,467--468,,2,"coordination, security, self-organization",10.1145/1066677.1066784,,,,,,,2005,,Proceedings of the 2005 ACM Symposium on Applied Computing,SAC '05,,1-58113-964-0,"Santa Fe, New Mexico",ACM,"New York, NY, USA"
article,2335822,Eric  Jankowski,,,,Computational Challenges in Nanoparticle Partition Function Calculation,26:1--26:2,26,2,"self-assembly, statistical mechanics",10.1145/2335755.2335822,,,,,,,2012,,Proceedings of the 1st Conference of the Extreme Science and Engineering Discovery Environment: Bridging from the eXtreme to the Campus and Beyond,XSEDE '12,,978-1-4503-1602-6,"Chicago, Illinois, USA",ACM,"New York, NY, USA"
article,1102324,Joseph  Lewis and Jamie  Lawson,,,,Behaviorally Coupled Emergent Representation,302--303,,2,"representation, self-organization, starcat",10.1145/1102256.1102324,,,,,,,2005,,Proceedings of the 7th Annual Workshop on Genetic and Evolutionary Computation,GECCO '05,,,"Washington, D.C.",ACM,"New York, NY, USA"
article,2687422,Stephen  Chong and Christian  Skalka and Jeffrey A.  Vaughan,,,,Self-Identifying Data for Fair Use,11:1--11:30,11,30,"Provenance, self-identifying data",10.1145/2687422,J. Data and Information Quality,Feb-15,5,3,,March,2015,1936-1955,,,,,,ACM,"New York, NY, USA"
article,2773282,Davide  Ancona and Daniela  Briola and Angelo  Ferrando and Viviana  Mascardi,,,,Global Protocols As First Class Entities for Self-Adaptive Agents,1019--1029,,11,"interaction protocols, self-adaptiveness",,,,,,,,2015,,Proceedings of the 2015 International Conference on Autonomous Agents and Multiagent Systems,AAMAS '15,,978-1-4503-3413-6,"Istanbul, Turkey",International Foundation for Autonomous Agents and Multiagent Systems,"Richland, SC"
article,2462495,Ville  Isom&#246;tt&#246;nen and Ville  Tirronen and Michael  Cochez,,,,Issues with a Course That Emphasizes Self-direction,111--116,,6,"active learning, self-direction",10.1145/2462476.2462495,,,,,,,2013,,Proceedings of the 18th ACM Conference on Innovation and Technology in Computer Science Education,ITiCSE '13,,978-1-4503-2078-8,"Canterbury, England, UK",ACM,"New York, NY, USA"
article,2003635,Monica  Anderson and Andrew  McKenzie and Briana  Wellman and Marcus  Brown and Susan  Vrbsky,,,,Affecting Attitudes in First-year Computer Science Using Syntaxfree Robotics Programming,51--57,,7,"robotics, self-efficacy, tools",10.1145/2003616.2003635,ACM Inroads,Sep-11,2,3,,August,2011,2153-2184,,,,,,ACM,"New York, NY, USA"
article,844355,Vasileios  Zeimpekis and George M. Giaglis and George  Lekakos,,,,A Taxonomy of Indoor and Outdoor Positioning Techniques for Mobile Location Services,19--27,,9,"remote positioning, self positioning",10.1145/844351.844355,SIGecom Exch.,"Winter, 2003",3,4,,December,2002,1551-9031,,,,,,ACM,"New York, NY, USA"
article,2700321,Gabriella  Castelli and Marco  Mamei and Alberto  Rosi and Franco  Zambonelli,,,,Engineering Pervasive Service Ecosystems: The SAPERE Approach,1:1--1:27,1,27,"Pervasive computing, coordination, middleware, self-organization",10.1145/2700321,ACM Trans. Auton. Adapt. Syst.,Mar-15,10,1,,March,2015,1556-4665,,,,,,ACM,"New York, NY, USA"
article,2948968,Lieven  Billiet and Thijs  Swinnen and Rene  Westhovens and Kurt  de Vlam and Sabine  Van Huffel,,,,Activity Recognition for Physical Therapy: Fusing Signal Processing Features and Movement Patterns,5:1--5:6,5,6,"LDA, dynamic time warping, early fusion, human activity recognition, pattern matching, quantified rehabilitation, time and frequency features",10.1145/2948963.2948968,,,,,,,2016,,Proceedings of the 3rd International Workshop on Sensor-based Activity Recognition and Interaction,iWOAR '16,,978-1-4503-4245-2,"Rostock, Germany",ACM,"New York, NY, USA"
article,2633672,Sahar  Hoteit and Stefano  Secci and Guy  Pujolle and Sven  Wieltholter and Adam  Wolisz and Cezary  Ziemlicki and Zbigniew  Smoreda,,,,Quantifying the Achievable Cellular Traffic Offloading Gain with Passpoint Hotspots,19--28,,10,"mobile data traffic, passpoint, traffic offloading",10.1145/2633661.2633672,,,,,,,2014,,Proceedings of the 2014 ACM International Workshop on Wireless and Mobile Technologies for Smart Cities,WiMobCity '14,,978-1-4503-3036-7,"Philadelphia, Pennsylvania, USA",ACM,"New York, NY, USA"
article,1811234,Dipankar  Majumdar and Sabnam  Sengupta and Ananya  Kanjilal and Swagata  Kundu and Swapan  Bhattacharya,,,,A Mathematical Reusability Model for Quantifying the Reduction in Development Effort,1--8,,8,"complexity reduction factor, effort reduction, reusability measurement, use case reusability, vector model",10.1145/1811226.1811234,SIGSOFT Softw. Eng. Notes,Jul-10,35,4,,July,2010,0163-5948,,,,,,ACM,"New York, NY, USA"
article,588075,Umeshwar  Dayal,,,,Processing Queries with Quantifiers a Horticultural Approach,125--136,,12,,10.1145/588058.588075,,,,,,,1983,,Proceedings of the 2Nd ACM SIGACT-SIGMOD Symposium on Principles of Database Systems,PODS '83,,0-89791-097-4,"Atlanta, Georgia",ACM,"New York, NY, USA"
article,3098985,Norbert  Blenn and Vincent  Ghi&#235;tte and Christian  Doerr,,,,Quantifying the Spectrum of Denial-of-Service Attacks Through Internet Backscatter,21:1--21:10,21,10,"backscatter, denial-of-service, telescope, threat intelligence",10.1145/3098954.3098985,,,,,,,2017,,"Proceedings of the 12th International Conference on Availability, Reliability and Security",ARES '17,,978-1-4503-5257-4,"Reggio Calabria, Italy",ACM,"New York, NY, USA"
article,2413298,Wolter  Pieters and Sanne H.G. van der Ven and Christian W. Probst,,,,A Move in the Security Measurement Stalemate: Elo-style Ratings to Quantify Vulnerability,1--14,,14,"control strength, elo, item response theory, rating systems, risk assessment, security metrics, threat capability, vulnerability",10.1145/2413296.2413298,,,,,,,2012,,Proceedings of the 2012 New Security Paradigms Workshop,NSPW '12,,978-1-4503-1794-8,"Bertinoro, Italy",ACM,"New York, NY, USA"
article,1120821,Yinlei  Yu and Sharad  Malik,,,,Validating the Result of a Quantified Boolean Formula (QBF) Solver: Theory and Practice,1047--1051,,5,,10.1145/1120725.1120821,,,,,,,2005,,Proceedings of the 2005 Asia and South Pacific Design Automation Conference,ASP-DAC '05,,0-7803-8737-6,"Shanghai, China",ACM,"New York, NY, USA"
article,1277864,Guang  Qiu and Kangmiao  Liu and Jiajun  Bu and Chun  Chen and Zhiming  Kang,,,,Quantify Query Ambiguity Using ODP Metadata,697--698,,2,"ODP, ambiguity, quantification, rank correlation test",10.1145/1277741.1277864,,,,,,,2007,,Proceedings of the 30th Annual International ACM SIGIR Conference on Research and Development in Information Retrieval,SIGIR '07,,978-1-59593-597-7,"Amsterdam, The Netherlands",ACM,"New York, NY, USA"
article,2534742,Georgios  Skoumas and Dieter  Pfoser and Anastasios  Kyrillidis,,,,On Quantifying Qualitative Geospatial Data: A Probabilistic Approach,71--78,,8,"probabilistic modeling, spatial relationships, user generated content",10.1145/2534732.2534742,,,,,,,2013,,Proceedings of the Second ACM SIGSPATIAL International Workshop on Crowdsourced and Volunteered Geographic Information,GEOCROWD '13,,978-1-4503-2528-8,"Orlando, Florida",ACM,"New York, NY, USA"
article,1964194,Kyle  Spafford and Jeremy S. Meredith and Jeffrey S. Vetter,,,,Quantifying NUMA and Contention Effects in multi-GPU Systems,11:1--11:7,11,7,"GPGPU, benchmarking, graphics processors, performance",10.1145/1964179.1964194,,,,,,,2011,,Proceedings of the Fourth Workshop on General Purpose Processing on Graphics Processing Units,GPGPU-4,,978-1-4503-0569-3,"Newport Beach, California, USA",ACM,"New York, NY, USA"
article,982028,Douglas B. Moran,,,,Quantifier Scoping in the SRI Core Language Engine,33--40,,8,,10.3115/982023.982028,,,,,,,1988,,Proceedings of the 26th Annual Meeting on Association for Computational Linguistics,ACL '88,,,"Buffalo, New York",Association for Computational Linguistics,"Stroudsburg, PA, USA"
article,274675,Gerald L. Lohse and Peter  Spiller,,,,Quantifying the Effect of User Interface Design Features on Cyberstore Traffic and Sales,211--218,,8,"Internet retail store design, WWW, economic value, electronic commerce, marketing, regression analysis, shopping",10.1145/274644.274675,,,,,,,1998,,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems,CHI '98,,0-201-30987-4,"Los Angeles, California, USA",ACM Press/Addison-Wesley Publishing Co.,"New York, NY, USA"
article,1950447,Raphael Y. Rubin and Andr&#233; M. DeHon,,,,Timing-driven Pathfinder Pathology and Remediation: Quantifying and Reducing Delay Noise in VPR-pathfinder,173--176,,4,"noise, pathfinder, sensitivity, timing-driven routing, vpr",10.1145/1950413.1950447,,,,,,,2011,,Proceedings of the 19th ACM/SIGDA International Symposium on Field Programmable Gate Arrays,FPGA '11,,978-1-4503-0554-9,"Monterey, CA, USA",ACM,"New York, NY, USA"
article,2038938,Sriram  Govindan and Jie  Liu and Aman  Kansal and Anand  Sivasubramaniam,,,,Cuanta: Quantifying Effects of Shared On-chip Resource Interference for Consolidated Virtual Machines,22:1--22:14,22,14,"cache pressure clone, last-level cache, memory subsystem interference, performance estimation, resource contention, workload consolidation",10.1145/2038916.2038938,,,,,,,2011,,Proceedings of the 2Nd ACM Symposium on Cloud Computing,SOCC '11,,978-1-4503-0976-9,"Cascais, Portugal",ACM,"New York, NY, USA"
article,1456504,Ivonne  Thomas and Michael  Menzel and Christoph  Meinel,,,,Using Quantified Trust Levels to Describe Authentication Requirements in Federated Identity Management,71--80,,10,"authentication and access control, federated identity management, trust levels, trust management, web service federation",10.1145/1456492.1456504,,,,,,,2008,,Proceedings of the 2008 ACM Workshop on Secure Web Services,SWS '08,,978-1-60558-292-4,"Alexandria, Virginia, USA",ACM,"New York, NY, USA"
article,384132,Scott  McCallum,,,,On Propagation of Equational Constraints in CAD-based Quantifier Elimination,223--231,,9,,10.1145/384101.384132,,,,,,,2001,,Proceedings of the 2001 International Symposium on Symbolic and Algebraic Computation,ISSAC '01,,1-58113-417-7,"London, Ontario, Canada",ACM,"New York, NY, USA"
article,309892,Scott  McCallum,,,,On Projection in CAD-based Quantifier Elimination with Equational Constraint,145--149,,5,,10.1145/309831.309892,,,,,,,1999,,Proceedings of the 1999 International Symposium on Symbolic and Algebraic Computation,ISSAC '99,,1-58113-073-2,"Vancouver, British Columbia, Canada",ACM,"New York, NY, USA"
article,1645964,Hila  Becker and Andrei  Broder and Evgeniy  Gabrilovich and Vanja  Josifovski and Bo  Pang,,,,What Happens After an Ad Click?: Quantifying the Impact of Landing Pages in Web Advertising,57--66,,10,"landing page taxonomy, online advertising",10.1145/1645953.1645964,,,,,,,2009,,Proceedings of the 18th ACM Conference on Information and Knowledge Management,CIKM '09,,978-1-60558-512-3,"Hong Kong, China",ACM,"New York, NY, USA"
article,1402317,Thomas  &#197;gotnes and Wiebe  van der Hoek and Michael  Wooldridge,,,,Quantifying over Coalitions in Epistemic Logic,665--672,,8,"complexity, epistemic logic, expressivity, model checking, succinctness",,,,,,,,2008,,Proceedings of the 7th International Joint Conference on Autonomous Agents and Multiagent Systems - Volume 2,AAMAS '08,,978-0-9817381-1-6,"Estoril, Portugal",International Foundation for Autonomous Agents and Multiagent Systems,"Richland, SC"
article,3199708,Shahrzad  Keshavarz and Daniel  Holcomb,,,,Threshold-based Obfuscated Keys with Quantifiable Security Against Invasive Readout,57--64,,8,,,,,,,,,2017,,Proceedings of the 36th International Conference on Computer-Aided Design,ICCAD '17,,,"Irvine, California",IEEE Press,"Piscataway, NJ, USA"
