type,id,author,editor,advisor,note,title,pages,article_no,num_pages,keywords,doi,journal,issue_date,volume,issue_no,description,month,year,issn,booktitle,acronym,edition,isbn,conf_loc,publisher,publisher_loc
article,3098532,Aku  Visuri and Niels  van Berkel and Chu  Luo and Jorge  Goncalves and Denzil  Ferreira and Vassilis  Kostakos,,,,Predicting Interruptibility for Manual Data Collection: A Cluster-based User Model,12:1--12:14,12,14,"interruptibility, quantified-self, self-reports, smartphones",10.1145/3098279.3098532,,,,,,,2017,,Proceedings of the 19th International Conference on Human-Computer Interaction with Mobile Devices and Services,MobileHCI '17,,978-1-4503-5075-4,"Vienna, Austria",ACM,"New York, NY, USA"
article,2858445,Peter  West and Richard  Giordano and Max  Van Kleek and Nigel  Shadbolt,,,,The Quantified Patient in the Doctor's Office: Challenges &#38; Opportunities,3066--3078,,13,"clinical decision making, quantified self, self-tracking",10.1145/2858036.2858445,,,,,,,2016,,Proceedings of the 2016 CHI Conference on Human Factors in Computing Systems,CHI '16,,978-1-4503-3362-7,"San Jose, California, USA",ACM,"New York, NY, USA"
article,2807947,Amon  Rapp and Federica  Cena and Judy  Kay and Bob  Kummerfeld and Frank  Hopfgartner and Till  Plumbaum and Jakob Eg Larsen,,,,New Frontiers of Quantified Self: Finding New Ways for Engaging Users in Collecting and Using Personal Data,969--972,,4,"personal informatics, quantified self, self tracking",10.1145/2800835.2807947,,,,,,,2015,,Adjunct Proceedings of the 2015 ACM International Joint Conference on Pervasive and Ubiquitous Computing and Proceedings of the 2015 ACM International Symposium on Wearable Computers,UbiComp/ISWC'15 Adjunct,,978-1-4503-3575-1,"Osaka, Japan",ACM,"New York, NY, USA"
article,2971398,Shoya  Ishimaru and Kai  Kunze and Koichi  Kise and Andreas  Dengel,,,,The Wordometer 2.0: Estimating the Number of Words You Read in Real Life Using Commercial EOG Glasses,293--296,,4,"electrooculography, eye movement, quantified self, reading",10.1145/2968219.2971398,,,,,,,2016,,Proceedings of the 2016 ACM International Joint Conference on Pervasive and Ubiquitous Computing: Adjunct,UbiComp '16,,978-1-4503-4462-3,"Heidelberg, Germany",ACM,"New York, NY, USA"
article,2841208,Bettina  Graf and Maike  Kr&#252;ger and Felix  M&#252;ller and Alexander  Ruhland and Andrea  Zech,,,,Nombot: Simplify Food Tracking,360--363,,4,"chatbot, human computer interaction, quantified self, tracking",10.1145/2836041.2841208,,,,,,,2015,,Proceedings of the 14th International Conference on Mobile and Ubiquitous Multimedia,MUM '15,,978-1-4503-3605-5,"Linz, Austria",ACM,"New York, NY, USA"
article,2882873,Kaiton  Williams,,,,An Anxious Alliance,121--131,,11,"autoethnography, experience, quantified-self, self-tracking",10.7146/aahcc.v1i1.21146,,,,,,,2015,,Proceedings of The Fifth Decennial Aarhus Conference on Critical Alternatives,CA '15,,,"Aarhus, Denmark",Aarhus University Press,
article,3124456,Amon  Rapp and Federica  Cena and Judy  Kay and Bob  Kummerfeld and Frank  Hopfgartner and Till  Plumbaum and Jakob Eg Larsen and Daniel A. Epstein and R&#250;ben  Gouveia,,,,New Frontiers of Quantified Self 3: Exploring Understudied Categories of Users,861--864,,4,"personal informatics, quantified self, self-tracking",10.1145/3123024.3124456,,,,,,,2017,,Proceedings of the 2017 ACM International Joint Conference on Pervasive and Ubiquitous Computing and Proceedings of the 2017 ACM International Symposium on Wearable Computers,UbiComp '17,,978-1-4503-5190-4,"Maui, Hawaii",ACM,"New York, NY, USA"
article,2541070,Rafael A. Calvo and Dorian  Peters,,,,The Irony and Re-interpretation of Our Quantified Self,367--370,,4,"life logging, personal informatics, quantified self",10.1145/2541016.2541070,,,,,,,2013,,"Proceedings of the 25th Australian Computer-Human Interaction Conference: Augmentation, Application, Innovation, Collaboration",OzCHI '13,,978-1-4503-2525-7,"Adelaide, Australia",ACM,"New York, NY, USA"
article,3124396,Lars  M&#252;ller,,,,Solving the Wrong Problem: When Technology is Making Us Blind,1012--1015,,4,"design, failures, quantified self, ubicomp, user studies",10.1145/3123024.3124396,,,,,,,2017,,Proceedings of the 2017 ACM International Joint Conference on Pervasive and Ubiquitous Computing and Proceedings of the 2017 ACM International Symposium on Wearable Computers,UbiComp '17,,978-1-4503-5190-4,"Maui, Hawaii",ACM,"New York, NY, USA"
article,3025589,Helena M. Mentis and Anita  Komlodi and Katrina  Schrader and Michael  Phipps and Ann  Gruber-Baldini and Karen  Yarbrough and Lisa  Shulman,,,,Crafting a View of Self-Tracking Data in the Clinical Visit,5800--5812,,13,"activity tracker, perception, quantified self, self-tracking",10.1145/3025453.3025589,,,,,,,2017,,Proceedings of the 2017 CHI Conference on Human Factors in Computing Systems,CHI '17,,978-1-4503-4655-9,"Denver, Colorado, USA",ACM,"New York, NY, USA"
article,2526682,Yang  Yang and Cathal  Gurrin,,,,Personal Lifelog Visualization,82--83,,2,"data visualization, lifelog, quantified self, user interface",10.1145/2526667.2526682,,,,,,,2013,,Proceedings of the 4th International SenseCam &#38; Pervasive Imaging Conference,SenseCam '13,,978-1-4503-2247-8,"San Diego, California, USA",ACM,"New York, NY, USA"
article,2968322,Elizabeth  Murnane and Mark  Matthews and Geri  Gay and Dan  Cosley,,,,Playing with Your Data: Towards Personal Informatics Driven Games,565--569,,5,"games, personal informatics, play, quantified self, toys",10.1145/2968219.2968322,,,,,,,2016,,Proceedings of the 2016 ACM International Joint Conference on Pervasive and Ubiquitous Computing: Adjunct,UbiComp '16,,978-1-4503-4462-3,"Heidelberg, Germany",ACM,"New York, NY, USA"
article,3130911,Nediyana  Daskalova and Karthik  Desingh and Alexandra  Papoutsaki and Diane  Schulze and Han  Sha and Jeff  Huang,,,,Lessons Learned from Two Cohorts of Personal Informatics Self-Experiments,46:1--46:22,46,22,"personal informatics, quantified self, self-tracking",10.1145/3130911,Proc. ACM Interact. Mob. Wearable Ubiquitous Technol.,Sep-17,1,3,,September,2017,2474-9567,,,,,,ACM,"New York, NY, USA"
article,2580934,William  Saunders and Filip  Krynicki and Valerie  Sugarman,,,,Sisyphorest: Maintenance Goal Support by Responding to Trends,215--220,,6,"goal-tracking, maintenance goals, quantified self",10.1145/2559206.2580934,,,,,,,2014,,CHI '14 Extended Abstracts on Human Factors in Computing Systems,CHI EA '14,,978-1-4503-2474-8,"Toronto, Ontario, Canada",ACM,"New York, NY, USA"
article,2968326,Elisabeth Kersten - van Dijk and Wijnand  IJsselsteijn and Joyce  Westerink,,,,Deceptive Visualizations and User Bias: A Case for Personalization and Ambiguity in PI Visualizations,588--593,,6,"evaluation of visualization, personal informatics, quantified self",10.1145/2968219.2968326,,,,,,,2016,,Proceedings of the 2016 ACM International Joint Conference on Pervasive and Ubiquitous Computing: Adjunct,UbiComp '16,,978-1-4503-4462-3,"Heidelberg, Germany",ACM,"New York, NY, USA"
article,2858173,Chris  Elsden and Bettina  Nissen and Andrew  Garbett and David  Chatting and David  Kirk and John  Vines,,,,Metadating: Exploring the Romance and Future of Personal Data,685--698,,14,"dating, lived informatics, personal data, quantified self",10.1145/2858036.2858173,,,,,,,2016,,Proceedings of the 2016 CHI Conference on Human Factors in Computing Systems,CHI '16,,978-1-4503-3362-7,"San Jose, California, USA",ACM,"New York, NY, USA"
article,2479516,Dhairya  Dand,,,,Cheers: Alcohol-aware Strobing Ice Cubes,2795--2796,,2,"alcohol consumption, quantified self, tangible objects",10.1145/2468356.2479516,,,,,,,2013,,CHI '13 Extended Abstracts on Human Factors in Computing Systems,CHI EA '13,,978-1-4503-1952-2,"Paris, France",ACM,"New York, NY, USA"
article,2496003,Assunta  Matassa and Amon  Rapp and Rossana  Simeoni,,,,Designing for Smart Cities: Connecting and Binding Citizens to Urban Spaces Through a New Wearable Interactive System,757--760,,4,"quantified self, smart cities, wearable computing",10.1145/2494091.2496003,,,,,,,2013,,Proceedings of the 2013 ACM Conference on Pervasive and Ubiquitous Computing Adjunct Publication,UbiComp '13 Adjunct,,978-1-4503-2215-7,"Zurich, Switzerland",ACM,"New York, NY, USA"
article,2641316,Gul  Calikli and Mads Schaarup Andersen and Arosha  Bandara and Blaine  Price and Bashar  Nuseibeh,,,,Personal Informatics for Non-geeks: Lessons Learned from Ordinary People,683--686,,4,"life-logging studies, personal informatics, quantified self",10.1145/2638728.2641316,,,,,,,2014,,Proceedings of the 2014 ACM International Joint Conference on Pervasive and Ubiquitous Computing: Adjunct Publication,UbiComp '14 Adjunct,,978-1-4503-3047-3,"Seattle, Washington",ACM,"New York, NY, USA"
